"car_name"|"car_mileage"|"car_transmission"|"car_location"|"car_price"|"car_instalment_mth_amt"
"2014 Proton Saga FLX Standard 1.3"|"155,964 km"|"Manual"|"Pulau Pinang"|"9,800"|"RM 107/mo"
"2017 Perodua Myvi H 1.5"|"101,296 km"|"Automatic"|"Selangor"|"40,000"|"RM 438/mo"
"2019 Honda CR-V TC VTEC 1.5"|"76,907 km"|"Automatic"|"Selangor"|"106,800"|"RM 1,170/mo"
"2016 Honda Jazz E i-VTEC 1.5"|"107,736 km"|"Automatic"|"Selangor"|"52,100"|"RM 571/mo"
"2010 Toyota Vios TRD Sportivo 1.5"|"206,909 km"|"Automatic"|"Pulau Pinang"|"24,800"|"RM 272/mo"
"2016 Perodua Myvi Advance 1.5"|"116,678 km"|"Automatic"|"Selangor"|"35,800"|"RM 392/mo"
"2017 Honda CR-V i-VTEC 2.0"|"90,909 km"|"Automatic"|"Johor"|"80,600"|"RM 883/mo"
"2017 Honda City V i-VTEC 1.5"|"123,243 km"|"Automatic"|"Kedah"|"57,800"|"RM 633/mo"
"2019 Perodua Myvi AV 1.5"|"94,888 km"|"Automatic"|"Melaka"|"46,800"|"RM 513/mo"
"2020 Proton X50 Premium 1.5"|"49,630 km"|"Automatic"|"Kuala Lumpur"|"75,700"|"RM 830/mo"
"2021 Perodua Myvi X 1.3"|"41,217 km"|"Automatic"|"Kedah"|"43,900"|"RM 481/mo"
"2015 Nissan Teana XL 2.0"|"154,076 km"|"Automatic"|"Selangor"|"42,900"|"RM 470/mo"
"2014 Honda Accord i-VTEC 2.4"|"113,465 km"|"Automatic"|"Perak"|"48,900"|"RM 536/mo"
"2018 Perodua Myvi AV 1.5"|"79,517 km"|"Automatic"|"Pulau Pinang"|"44,800"|"RM 491/mo"
"2018 Proton Saga Standard 1.3"|"59,417 km"|"Automatic"|"Selangor"|"26,800"|"RM 294/mo"
"2014 Toyota Camry G 2.0"|"175,211 km"|"Automatic"|"Pulau Pinang"|"50,600"|"RM 554/mo"
"2018 Perodua Myvi H 1.5"|"102,099 km"|"Automatic"|"Johor"|"41,800"|"RM 458/mo"
"2016 Honda Jazz E i-VTEC 1.5"|"130,718 km"|"Automatic"|"Selangor"|"52,100"|"RM 571/mo"
"2014 Honda City V i-VTEC 1.5"|"152,433 km"|"Automatic"|"Johor"|"38,800"|"RM 425/mo"
"2017 Perodua Myvi Advance 1.5"|"106,895 km"|"Automatic"|"Selangor"|"40,600"|"RM 445/mo"
"2012 Toyota Vios E 1.5"|"231,374 km"|"Automatic"|"Negeri Sembilan"|"26,900"|"RM 295/mo"
"2013 Honda Civic S i-VTEC 2.0"|"129,539 km"|"Automatic"|"Kuala Lumpur"|"36,100"|"RM 396/mo"
"2020 Proton X50 TGDI Flagship 1.5"|"53,062 km"|"Automatic"|"Selangor"|"81,800"|"RM 896/mo"
"2017 Perodua Myvi SE 1.5"|"105,045 km"|"Automatic"|"Melaka"|"36,900"|"RM 404/mo"
"2019 Mercedes-Benz A250 AMG Line 2.0"|"44,990 km"|"Automatic"|"Selangor"|"175,600"|"RM 1,924/mo"
"2018 Proton Persona Standard 1.6"|"105,052 km"|"Automatic"|"Pulau Pinang"|"32,000"|"RM 351/mo"
"2022 Proton X50 Premium 1.5"|"37,312 km"|"Automatic"|"Pulau Pinang"|"81,800"|"RM 896/mo"
"2021 Proton X50 TGDI Flagship 1.5"|"50,663 km"|"Automatic"|"Selangor"|"84,800"|"RM 929/mo"
"2020 Perodua Myvi H 1.5"|"50,696 km"|"Automatic"|"Pulau Pinang"|"46,200"|"RM 506/mo"
"2017 Proton Saga Premium 1.3"|"122,828 km"|"Automatic"|"Selangor"|"27,000"|"RM 296/mo"
"2014 Perodua Alza SX 1.5"|"146,323 km"|"Manual"|"Pulau Pinang"|"26,500"|"RM 290/mo"
"2019 Perodua Myvi AV 1.5"|"87,796 km"|"Automatic"|"Selangor"|"46,800"|"RM 513/mo"
"2020 Nissan Serena S-Hybrid High-Way Star 2.0"|"38,049 km"|"Automatic"|"Perak"|"98,900"|"RM 1,084/mo"
"2017 Perodua Bezza X Premium 1.3"|"78,811 km"|"Automatic"|"Perak"|"33,900"|"RM 371/mo"
"2010 Mazda 2 V 1.5"|"156,763 km"|"Automatic"|"Kuala Lumpur"|"16,300"|"RM 179/mo"
"2021 Proton X50 Premium 1.5"|"48,335 km"|"Automatic"|"Perak"|"80,800"|"RM 885/mo"
"2024 Nissan Almera VLP 1.0"|"47 km"|"Automatic"|"Pulau Pinang"|"83,800"|"RM 918/mo"
"2016 Toyota Vios G 1.5"|"127,317 km"|"Automatic"|"Pahang"|"50,800"|"RM 557/mo"
"2017 Proton Saga Standard 1.3"|"115,322 km"|"Automatic"|"Selangor"|"27,000"|"RM 296/mo"
"2018 Perodua Bezza Advance Premium 1.3"|"27,029 km"|"Automatic"|"Perak"|"37,800"|"RM 414/mo"
"2016 Honda Jazz E i-VTEC 1.5"|"128,151 km"|"Automatic"|"Selangor"|"52,000"|"RM 570/mo"
"2018 Toyota Vios E 1.5"|"102,490 km"|"Automatic"|"Selangor"|"55,800"|"RM 611/mo"
"2023 Proton X50 Executive 1.5"|"16,668 km"|"Automatic"|"Johor"|"75,800"|"RM 831/mo"
"2023 Nissan Almera VLT 1.0"|"66 km"|"Automatic"|"Terengganu"|"81,000"|"RM 888/mo"
"2019 Perodua Myvi AV 1.5"|"66,782 km"|"Automatic"|"Johor"|"47,800"|"RM 524/mo"
"2017 Honda CR-V TC VTEC 1.5"|"120,511 km"|"Automatic"|"Johor"|"94,800"|"RM 1,039/mo"
"2021 Perodua Ativa AV 1.0"|"40,593 km"|"Automatic"|"Selangor"|"64,600"|"RM 708/mo"
"2019 Perodua Myvi AV 1.5"|"93,905 km"|"Automatic"|"Sarawak"|"42,800"|"RM 469/mo"
"2014 Toyota Vios G 1.5"|"158,238 km"|"Automatic"|"Pulau Pinang"|"39,000"|"RM 427/mo"
"2023 Honda WR-V S 1.5"|"5,078 km"|"Automatic"|"Selangor"|"79,800"|"RM 874/mo"
"2017 Perodua Myvi SE 1.5"|"102,693 km"|"Automatic"|"Johor"|"36,900"|"RM 404/mo"
"2019 Mazda CX-5 SKYACTIV-G GLS 2.0"|"79,878 km"|"Automatic"|"Melaka"|"109,800"|"RM 1,203/mo"
"2016 Perodua Bezza Advance Premium 1.3"|"76,240 km"|"Automatic"|"Pulau Pinang"|"35,000"|"RM 384/mo"
"2022 Proton X50 TGDI Flagship 1.5"|"17,966 km"|"Automatic"|"Selangor"|"88,800"|"RM 973/mo"
"2021 Toyota Camry V 2.5"|"44,160 km"|"Automatic"|"Selangor"|"160,900"|"RM 1,763/mo"
